tier,step,rows_in,rows_out,ts
agg,238.0,40960.0,40.0,2026/01/16-22:13:45.031
agg,239.0,40960.0,40.0,2026/01/16-22:13:45.044
agg,240.0,40960.0,40.0,2026/01/16-22:13:45.059
agg,241.0,40960.0,40.0,2026/01/16-22:13:45.072
agg,242.0,40960.0,40.0,2026/01/16-22:13:45.084
agg,243.0,57360.0,56.0,2026/01/16-22:13:46.010
agg,244.0,65516.0,64.0,2026/01/16-22:13:46.037
agg,245.0,40960.0,40.0,2026/01/16-22:13:46.049
agg,246.0,40960.0,40.0,2026/01/16-22:13:46.064
agg,247.0,40960.0,40.0,2026/01/16-22:13:46.079
agg,248.0,40960.0,40.0,2026/01/16-22:13:46.093
agg,249.0,40960.0,40.0,2026/01/16-22:13:47.009
agg,250.0,40960.0,40.0,2026/01/16-22:13:47.023
agg,251.0,40960.0,40.0,2026/01/16-22:13:47.038
agg,252.0,40960.0,40.0,2026/01/16-22:13:47.051
agg,253.0,40960.0,40.0,2026/01/16-22:13:47.066
agg,254.0,57360.0,56.0,2026/01/16-22:13:47.092
agg,255.0,65516.0,64.0,2026/01/16-22:13:48.013
